,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec012_nation_cd,과정,수료년도,수료학기,rec012_birth_dt,gpa,rec012_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
14,14,38,AAEIFDOqHG7LyP0qdJyF9rdH,공과대학,공학,1,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAEi0/vt9suG6wBPbYe80RHO,korean,석사과정,,,19961021,4.17,2,16200000,47.41,46.12,타교,,1350000
18,18,42,AAF/gDbBJLTcDD/NtXARGwQ6,공과대학,공학,1,정원내신입학,재학,전기전자공학과,신호 및 멀티미디어전공,AAFptwmanjlLzXaPDP6w+HhG,korean,석사과정,,,19951207,4.5,2,12692000,43.58,42.88,타교,,1057666.667
19,19,47,AAFbcIbsluMtERszopN9ReiN,공과대학,공학,2,외국인,재학,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,foreigner,석사과정,,,19981016,4.5,2,17676993,99.6,0,타교,,1473082.75
22,22,54,AAHinCtk7MJlDPWxbn9Tcxli,공과대학,공학,1,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAGVaVDMnAJbsoy6IqhpItUd,korean,석사과정,,,19951011,4.25,2,10215000,49.74,49.55,자교,,851250
29,29,64,AAGgfao3RLQ4PhbPN/ULZZ7p,공과대학,공학,1,학연산협동과정,재학,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,,,19960810,3.67,2,,41.61,41.85,타교,,0
30,30,65,AAH9lkqnuEDJ6Jtld85Ond+D,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAE9GAgYnBT76ywUf8EXt/Yl,korean,석사과정,,,19960821,4.5,2,16975000,41.62,41.74,타교,,1414583.333
293,293,675,AAH5NmVo6Wh68zyh1aHs48TT,공과대학,공학,1,정원내신입학,수료,기계공학과,기계공학전공,AAHJbaJlFW9Mf4ji62hb+LRY,korean,석사과정,2020,2R,19880602,3.81,4,2299990,46,46,타교,,95832.91667
407,407,901,AAG/uZMAz/iQCTuC2zJNUZoS,공과대학,공학,1,정원내신입학,제적,산업경영공학과,산업경영공학전공,AAEYVfsfVhIHnbTEKHsFv2Gf,korean,석사과정,,,19900929,,1,,42,48,타교,,0
602,602,1226,AAFE6U7lWfTRWghLtYgpvoE1,공과대학,공학,1,정원내신입학,재학,기계공학과,기계공학전공,AAGMlJxfOORPzbzO8WPFu09N,korean,석사과정,,,19950117,4.38,4,33600000,43,49,자교,,1400000
627,627,1284,AAH9M9rP+31VPLiKzVgVdV8F,공과대학,공학,2,정원내신입학,재학,기계공학과,기계공학전공,AAEXgpbpybfmEYI/SfyD7udJ,korean,석사과정,,,19970925,4.5,4,30925660,47,49,자교,,1288569.167
